attribute,metric,value
sex,demographic_parity_gap,0.06496630164644729
sex,equal_opportunity_gap,0.03642857442506309
sex,false_positive_rate_gap,0.01262311182786574
race,demographic_parity_gap,0.19284662841284128
race,equal_opportunity_gap,0.1714881780250347
race,false_positive_rate_gap,0.0855120390783729
age,demographic_parity_gap,0.17519809547235451
age,equal_opportunity_gap,0.4755246536267319
age,false_positive_rate_gap,0.09496793729960813
