epoch,loss,classification_loss,mmd_loss
1,0.5912597179412842,0.591255247592926,4.490216724661877e-06
2,0.5624092817306519,0.5624011754989624,8.106231689453125e-06
3,0.60382479429245,0.6038150787353516,9.735425010148901e-06
4,0.5804476141929626,0.5804284811019897,1.911322215164546e-05
5,0.606749415397644,0.6067338585853577,1.5536943465122022e-05
6,0.5756365656852722,0.5754973888397217,0.00013919670891482383
7,0.5374377965927124,0.5374202132225037,1.7563501387485303e-05
8,0.5391864776611328,0.5391143560409546,7.212162017822266e-05
9,0.5338837504386902,0.5338272452354431,5.650520324707031e-05
10,0.6074970960617065,0.6067267656326294,0.0007703304290771484
11,0.44243770837783813,0.44235143065452576,8.626779163023457e-05
12,0.5048299431800842,0.5042586326599121,0.0005713303689844906
13,0.4857426881790161,0.48531046509742737,0.00043221315718255937
14,0.48264119029045105,0.4821631610393524,0.0004780292510986328
15,0.46244093775749207,0.461831659078598,0.000609278678894043
16,0.4736294150352478,0.47234123945236206,0.0012881755828857422
17,0.4494893252849579,0.4491095244884491,0.00037980079650878906
18,0.46478521823883057,0.4644860029220581,0.00029921531677246094
19,0.3971841633319855,0.3971201181411743,6.405512249330059e-05
20,0.40303635597229004,0.4020107686519623,0.001025597215630114
21,0.3791794776916504,0.37673571705818176,0.002443750621750951
22,0.3669447600841522,0.3667958676815033,0.00014889240264892578
23,0.3982659876346588,0.39688339829444885,0.001382589340209961
24,0.3976561725139618,0.3969000577926636,0.0007561047677882016
25,0.36057397723197937,0.3533797264099121,0.007194241043180227
26,0.3907603621482849,0.3897956907749176,0.0009646813268773258
27,0.39156121015548706,0.3905086815357208,0.0010525385150685906
28,0.40120428800582886,0.40034472942352295,0.0008595585823059082
29,0.39819765090942383,0.39686593413352966,0.0013317266711965203
30,0.33999714255332947,0.3393407464027405,0.0006563861970789731
31,0.36102887988090515,0.36021822690963745,0.000810643017757684
32,0.35627707839012146,0.3554157018661499,0.0008613864774815738
33,0.34235692024230957,0.3415584862232208,0.0007984240655787289
34,0.41252556443214417,0.411327064037323,0.0011984904995188117
35,0.373418927192688,0.3730470836162567,0.00037185350083746016
36,0.3928404450416565,0.39096057415008545,0.001879870891571045
37,0.3135812282562256,0.31332430243492126,0.00025693574571050704
38,0.3810572028160095,0.38077348470687866,0.0002837181091308594
39,0.29164472222328186,0.2889661192893982,0.00267859292216599
40,0.35086509585380554,0.34954357147216797,0.0013215342769399285
41,0.3994980454444885,0.398394376039505,0.0011036793002858758
42,0.3692905902862549,0.3613014221191406,0.007989168167114258
43,0.3547135293483734,0.3537277281284332,0.0009858012199401855
44,0.432468056678772,0.4313909113407135,0.001077155233360827
45,0.33119726181030273,0.3299449384212494,0.0012523134937509894
46,0.3563706576824188,0.35450753569602966,0.0018631219863891602
47,0.3523281514644623,0.3517070412635803,0.0006211201543919742
48,0.34910261631011963,0.34506380558013916,0.004038810729980469
49,0.37885159254074097,0.3763802647590637,0.002471327781677246
50,0.3437601327896118,0.3420357406139374,0.0017243822803720832
