group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.3564356435643564,0.7,0.17424242424242425,0.3269224166870117,0.7940681576728821,0.11501102716906761
Black,4224,0.17021780303030304,0.16358901515151514,0.5285118219749653,0.08873038516405135,0.19458523392677307,0.8438388705253601,-0.07783560124377367
White,16885,0.2827953805152502,0.2595202842759846,0.6255497382198952,0.11519405450041288,0.2628556489944458,0.8080773949623108,0.018095667880695804
