group,n,base_positive_rate,selection_rate_baseline,true_positive_rate_baseline,false_positive_rate_baseline,selection_rate_minus_overall_baseline,selection_rate_os_sex,true_positive_rate_os_sex,false_positive_rate_os_sex,selection_rate_minus_overall_os_sex,selection_rate_os_race,true_positive_rate_os_race,false_positive_rate_os_race,selection_rate_minus_overall_os_race,selection_rate_os_age,true_positive_rate_os_age,false_positive_rate_os_age,selection_rate_minus_overall_os_age
Asian,202,0.3465346534653465,0.4752475247524752,0.9,0.25,0.06940077894045327,0.48514851485148514,0.9142857142857143,0.25757575757575757,0.08230491295575054,0.4504950495049505,0.8285714285714286,0.25,0.10869973253249499,0.4752475247524752,0.8857142857142857,0.25757575757575757,0.08085026512129884
Black,4224,0.17021780303030304,0.3174715909090909,0.8456189151599444,0.20912981455064195,-0.08837515490293107,0.31202651515151514,0.8372739916550765,0.20427960057061342,-0.09081708674421946,0.2900094696969697,0.8122392211404729,0.18288159771754636,-0.0517858472754858,0.31084280303030304,0.8456189151599444,0.20114122681883023,-0.08355445660087335
White,16885,0.2827953805152502,0.42712466686408057,0.8938219895287958,0.2431048720066061,0.021277921052058613,0.4245780278353568,0.8896335078534031,0.2412056151940545,0.021734425939622215,0.35344980752146876,0.7830366492146597,0.18406275805119734,0.011654490549013241,0.41433224755700326,0.8841884816753927,0.2290668868703551,0.019934987925826875
