model,accuracy,balanced_accuracy,roc_auc,sex_demographic_parity_gap,sex_equal_opportunity_gap,sex_fpr_gap,race_demographic_parity_gap,race_equal_opportunity_gap,race_fpr_gap,age_demographic_parity_gap,age_equal_opportunity_gap,age_fpr_gap
baseline,0.7965839237952231,0.826035154323097,0.8892676007302203,0.08550542759631313,0.013142687541426556,0.03034473127387924,0.15777593384338434,0.05438108484005566,0.040870185449358054,0.09851600214553907,0.16306813750258575,0.07074579831932773
os_sex,0.797240861526911,0.8250269002432744,0.8899200363475713,0.08291225299822896,0.014602053915276025,0.02653538751186632,0.17312199969997,0.07701172263063771,0.053296157005144146,0.10380670643499179,0.140225038670725,0.07211134453781515
os_race,0.8082680305945287,0.8015153012382124,0.8824018754590756,0.07904339382489722,0.030281196774816,0.021618683794715043,0.16048557980798078,0.04553477935676897,0.06711840228245364,0.154789672155129,0.32881551153468724,0.08686974789915967
os_age,0.8036225423490216,0.8280667338778986,0.8929091260042594,0.0810318471461377,0.013377088105246404,0.023631023168146997,0.1644047217221722,0.040095370554341314,0.05643453075692734,0.17623013793130365,0.08791666666666664,0.12801611471696983
