group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.3613861386138614,0.7,0.18181818181818182,0.32724523544311523,0.7947565913200378,0.12005537046595655
Black,4224,0.17021780303030304,0.16382575757575757,0.5312934631432545,0.0884450784593438,0.19464367628097534,0.8441324234008789,-0.07750501057214726
White,16885,0.2827953805152502,0.25928338762214986,0.6259685863874346,0.11469859620148637,0.26293841004371643,0.8085028529167175,0.017952619474245035
