epoch,loss
1,0.5912497639656067
2,0.5623941421508789
3,0.603800356388092
4,0.5803930759429932
5,0.6066901683807373
6,0.5754075646400452
7,0.5371719002723694
8,0.5388967394828796
9,0.5331526398658752
10,0.6061977744102478
11,0.4415266811847687
12,0.503555178642273
13,0.4840926229953766
14,0.48138904571533203
15,0.46142929792404175
16,0.47169944643974304
17,0.44894835352897644
18,0.4645251929759979
19,0.3968985378742218
20,0.40186983346939087
21,0.376348078250885
22,0.36639317870140076
23,0.39673638343811035
24,0.3969176411628723
25,0.3534793257713318
26,0.389904648065567
27,0.3904225826263428
28,0.4009304344654083
29,0.3966711163520813
30,0.3391346335411072
31,0.3602217435836792
32,0.3555820882320404
33,0.34142187237739563
34,0.411742627620697
35,0.37279510498046875
36,0.3910239040851593
37,0.31331557035446167
38,0.38065436482429504
39,0.2885110676288605
40,0.34964439272880554
41,0.39829304814338684
42,0.36115124821662903
43,0.35297098755836487
44,0.43153807520866394
45,0.3296363055706024
46,0.3539443910121918
47,0.35116857290267944
48,0.3442923128604889
49,0.37646976113319397
50,0.3420358896255493
