group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,selection_rate_minus_overall
25-34,495,0.9858585858585859,0.9878787878787879,0.9938524590163934,0.5714285714285714,0.0377955932032471
35-44,530,0.9566037735849057,0.960377358490566,0.9901380670611439,0.30434782608695654,0.010294163815025237
45-54,439,0.929384965831435,0.9453302961275627,0.9852941176470589,0.41935483870967744,-0.004752898547978113
55-64,487,0.9342915811088296,0.9342915811088296,0.9846153846153847,0.21875,-0.015791613566711216
65-74,331,0.9244712990936556,0.9093655589123867,0.9640522875816994,0.24,-0.040717635763154125
<25,32,0.9375,0.96875,1.0,0.5,0.01866680532445919
>74,90,0.9333333333333333,0.9333333333333333,0.9880952380952381,0.16666666666666666,-0.01674986134220746
