occupancy_type,loan_amount,action_taken,state_code,county_code,applicant_race_1,applicant_sex,applicant_age,income,applicant_credit_scoring_model,debt_to_income_ratio,loan_term,interest_only_payment,property_value,target
1,515000,1,MN,27003,5,2,65-74,191,2,42,360,2,615000,1
1,515000,1,TN,47065,5,2,55-64,219,3,30%-<36%,360,2,1055000,1
1,665000,1,NC,37109,5,2,35-44,130,2,48,360,2,935000,1
1,155000,1,GA,13067,2,1,55-64,,3,<20%,300,1,1795000,1
1,1265000,1,FL,12021,5,1,55-64,527,1,45,360,1,1685000,1
2,605000,1,CA,06085,5,2,>74,483,2,<20%,360,1,755000,1
1,305000,1,SC,45013,5,2,65-74,165,2,20%-<30%,360,2,425000,1
3,595000,1,CA,06017,5,1,65-74,927,2,20%-<30%,360,2,1165000,1
1,675000,1,IL,17031,5,1,25-34,460,3,30%-<36%,360,2,1075000,1
1,595000,1,NY,36047,5,2,25-34,153,3,30%-<36%,360,2,875000,1
1,1845000,1,CA,06059,5,1,35-44,,1,20%-<30%,360,2,2305000,1
1,685000,1,CA,06097,5,2,25-34,134,2,44,360,2,855000,1
1,805000,3,IL,17097,5,1,35-44,178,2,50%-60%,360,2,895000,0
1,515000,1,UT,49035,5,1,25-34,103,3,41,360,2,525000,1
1,205000,1,CO,08001,5,1,35-44,108,3,20%-<30%,360,2,605000,1
2,245000,1,SC,45019,5,1,35-44,,3,30%-<36%,360,1,325000,1
1,255000,3,TX,48113,5,2,45-54,9,1,>60%,360,2,3315000,0
1,515000,1,MD,24021,5,1,65-74,184,3,48,360,2,695000,1
2,1185000,1,IL,17043,5,1,55-64,764,1,30%-<36%,360,2,2005000,1
1,585000,1,IN,18057,5,1,55-64,281,2,30%-<36%,360,2,735000,1
1,515000,1,TN,47065,5,2,25-34,237,3,20%-<30%,360,2,695000,1
1,1875000,1,NY,36061,5,1,25-34,759,2,41,360,1,2505000,1
1,625000,1,NH,33015,5,1,65-74,389,3,20%-<30%,360,1,825000,1
1,1205000,1,UT,49035,5,1,55-64,251,1,37,360,2,1845000,1
2,1235000,1,MD,24003,5,1,65-74,532,1,20%-<30%,360,2,1655000,1
1,515000,1,OH,39035,5,2,35-44,189,3,20%-<30%,360,2,665000,1
1,645000,1,FL,12099,5,1,55-64,513,1,<20%,360,1,805000,1
1,2555000,3,CA,06037,5,1,55-64,291,1,>60%,360,1,7255000,0
1,2825000,1,MN,27053,5,2,45-54,672,2,48,360,1,4045000,1
