occupancy_type,loan_amount,action_taken,state_code,county_code,applicant_race_1,applicant_sex,applicant_age,income,applicant_credit_scoring_model,debt_to_income_ratio,loan_term,interest_only_payment,property_value,target
1,1875000,1,CT,09001,5,2,55-64,725,2,20%-<30%,360,2,2505000,1
1,1305000,1,CA,06059,5,1,35-44,,3,42,360,2,2705000,1
2,2105000,1,NY,36103,5,1,55-64,953,1,49,360,2,3205000,1
2,575000,1,FL,12086,5,1,65-74,519,3,30%-<36%,360,1,1395000,1
1,1645000,1,MA,25017,5,2,35-44,510,2,42,360,1,2055000,1
1,1295000,1,FL,12087,5,1,65-74,498,3,38,360,1,1625000,1
1,3585000,1,NY,36103,5,1,25-34,1031,2,30%-<36%,360,2,4155000,1
1,1005000,1,NJ,34039,5,2,25-34,346,2,20%-<30%,360,2,1255000,1
1,1255000,1,SC,45019,5,1,>74,,3,40,360,1,2995000,1
2,1185000,1,FL,12031,5,1,55-64,308,3,44,360,2,1475000,1
1,385000,1,IL,17031,5,1,35-44,138,1,40,360,2,585000,1
2,1025000,1,NY,36061,5,1,65-74,458,3,30%-<36%,360,1,1365000,1
2,565000,1,WI,55021,5,1,45-54,1002,1,<20%,360,2,755000,1
2,515000,1,CO,08013,5,1,45-54,630,1,20%-<30%,360,2,1175000,1
1,2005000,1,FL,12086,5,1,35-44,554,1,20%-<30%,360,2,2805000,1
1,725000,1,PA,42045,5,1,35-44,,2,37,360,2,905000,1
1,3205000,1,NY,36103,5,1,55-64,738,1,46,360,1,4275000,1
1,655000,1,NJ,34023,2,1,45-54,,2,20%-<30%,360,2,815000,1
1,515000,1,NJ,34027,5,1,45-54,114,2,39,360,2,615000,1
1,785000,1,CT,09001,5,1,25-34,243,3,44,360,2,985000,1
1,185000,1,FL,12109,5,2,25-34,47,3,44,360,2,435000,1
1,1205000,1,NY,36059,5,1,45-54,372,3,38,360,2,2405000,1
1,1265000,1,NJ,34039,5,1,55-64,410,2,30%-<36%,360,2,1575000,1
1,725000,1,GA,13121,5,2,45-54,302,2,50%-60%,360,1,1185000,1
1,305000,1,FL,12099,5,2,65-74,291,1,20%-<30%,360,2,465000,1
2,1875000,3,FL,12011,5,1,65-74,-274,3,<20%,360,2,2505000,0
1,515000,1,CO,08035,5,1,65-74,148,2,47,360,2,735000,1
1,515000,1,MA,25021,5,2,65-74,147,3,44,360,2,915000,1
1,545000,1,TN,47187,5,1,45-54,197,3,30%-<36%,360,2,805000,1
1,1205000,1,MN,27019,5,1,65-74,257,2,50%-60%,360,2,1645000,1
1,2125000,1,FL,12057,2,1,35-44,834,1,43,360,1,2655000,1
1,6005000,1,NY,36047,5,1,45-54,1148,3,50%-60%,360,2,11005000,1
1,1425000,1,NY,36059,5,1,25-34,1129,2,40,360,2,1775000,1
1,805000,3,FL,12086,5,1,35-44,325,3,20%-<30%,360,2,965000,0
1,6005000,1,FL,12086,5,1,35-44,2170,3,43,360,1,7505000,1
1,925000,1,TX,48201,5,1,25-34,260,1,30%-<36%,360,2,1155000,1
1,1835000,3,NJ,34025,5,1,25-34,364,2,>60%,360,2,2795000,0
1,1875000,1,WA,53011,5,1,35-44,783,2,30%-<36%,360,1,2505000,1
1,515000,1,DC,11001,5,2,55-64,339,2,30%-<36%,360,2,985000,1
1,2115000,1,CO,08035,5,1,45-54,679,3,39,360,1,2825000,1
1,1125000,1,PA,42091,5,1,35-44,,1,20%-<30%,360,2,1405000,1
1,525000,1,NJ,34027,5,2,55-64,144,2,38,360,2,655000,1
1,595000,1,GA,13067,3,2,35-44,630,3,<20%,360,2,595000,1
2,515000,1,FL,12115,5,1,55-64,221,3,43,360,1,705000,1
3,205000,1,FL,12035,5,2,>74,145,3,20%-<30%,360,2,225000,1
1,855000,1,SC,45013,5,1,55-64,460,1,43,360,1,3415000,1
2,2505000,1,FL,12021,5,1,55-64,9259,1,<20%,360,1,3655000,1
1,1865000,1,NY,36119,5,1,35-44,,1,43,360,2,2335000,1
1,965000,1,NJ,34025,5,2,55-64,272,1,30%-<36%,360,2,1205000,1
2,1275000,1,RI,44009,5,1,45-54,655,1,30%-<36%,360,1,1705000,1
1,515000,1,SC,45045,5,1,25-34,209,2,<20%,360,2,675000,1
1,1005000,1,MA,25021,5,1,25-34,470,3,<20%,360,2,2455000,1
1,265000,3,AZ,04019,5,2,65-74,51,3,>60%,360,2,325000,0
1,905000,1,NJ,34039,5,1,35-44,,3,20%-<30%,360,2,1755000,1
1,515000,1,WI,55079,5,2,25-34,222,3,20%-<30%,360,2,675000,1
1,755000,3,MA,25007,5,1,>74,317,3,>60%,300,1,10745000,0
1,555000,1,NY,36027,5,1,25-34,351,1,<20%,360,1,695000,1
1,695000,1,TX,48113,5,2,35-44,575,2,37,360,2,2095000,1
2,415000,1,NY,36061,5,2,55-64,204,3,48,360,2,555000,1
1,1005000,1,NY,36029,5,1,25-34,2691,1,<20%,360,2,1405000,1
1,1085000,1,NY,36061,5,2,25-34,325,3,39,360,2,1455000,1
2,1005000,1,UT,49051,5,1,55-64,506,2,30%-<36%,360,1,1905000,1
2,3055000,1,FL,12021,5,1,55-64,831,2,48,360,1,4365000,1
1,1505000,1,GA,13133,5,2,55-64,534,1,38,360,1,3505000,1
1,1205000,1,FL,12086,5,1,45-54,809,2,50%-60%,360,2,2005000,1
1,245000,1,FL,12035,5,1,25-34,390,1,30%-<36%,360,2,315000,1
3,255000,1,FL,12081,5,1,65-74,123,3,46,360,2,505000,1
1,455000,1,VT,50007,5,2,35-44,120,3,37,360,2,575000,1
1,515000,3,PA,42095,5,2,25-34,,1,20%-<30%,360,2,955000,0
1,2475000,1,NY,36103,5,1,45-54,,3,<20%,360,2,3305000,1
1,865000,1,CA,06037,5,1,45-54,558,3,20%-<30%,360,2,1155000,1
1,1425000,1,FL,12115,5,1,65-74,875,1,20%-<30%,360,1,1895000,1
1,405000,3,TX,48439,5,2,25-34,354,2,20%-<30%,360,2,505000,0
1,3285000,1,CT,09001,2,1,45-54,1148,2,36,360,2,4105000,1
2,2085000,1,NJ,34009,2,1,45-54,564,1,41,360,2,2775000,1
1,365000,1,FL,12021,5,2,35-44,334,1,38,360,2,455000,1
1,595000,1,TX,48453,5,2,45-54,192,3,20%-<30%,360,2,1125000,1
1,745000,1,CA,06001,2,1,25-34,170,2,36,360,2,925000,1
2,2175000,1,NY,36103,5,1,45-54,3294,2,<20%,360,2,2905000,1
1,575000,1,TX,48339,5,1,55-64,329,1,30%-<36%,360,2,1735000,1
2,465000,1,MI,26089,5,2,25-34,311,1,30%-<36%,360,2,465000,1
1,255000,1,FL,12057,2,2,25-34,74,3,30%-<36%,360,2,385000,1
1,585000,1,VA,51153,5,2,55-64,207,3,38,360,2,735000,1
1,1735000,1,CA,06037,5,1,35-44,479,3,40,360,2,2315000,1
2,675000,1,FL,12021,5,1,55-64,301,2,46,360,2,1675000,1
2,905000,1,NY,36103,5,2,45-54,320,2,44,360,2,1985000,1
1,1285000,1,CT,09009,5,2,45-54,880,1,20%-<30%,360,1,1605000,1
1,515000,1,MI,26125,5,1,65-74,112,2,44,360,2,705000,1
1,465000,1,FL,12095,5,1,25-34,193,1,46,360,1,465000,1
1,605000,1,MI,26149,5,1,45-54,230,1,40,360,2,1055000,1
1,2805000,1,FL,12086,2,1,45-54,1518,3,47,360,2,4055000,1
2,1995000,1,NY,36103,5,1,45-54,792,3,41,360,2,2665000,1
1,1005000,1,MA,25025,5,1,25-34,339,2,20%-<30%,360,2,1425000,1
1,1055000,1,NY,36047,3,1,35-44,266,2,30%-<36%,360,2,1255000,1
1,1175000,1,NY,36061,5,1,35-44,330,1,43,360,1,1675000,1
2,1415000,1,NY,36061,5,1,55-64,540,1,48,360,2,2185000,1
1,515000,1,NY,36061,5,2,<25,,3,30%-<36%,360,2,725000,1
1,375000,1,FL,12086,5,1,55-64,240,1,50%-60%,360,1,465000,1
1,1285000,1,NY,36119,5,2,35-44,,1,39,360,2,1605000,1
1,255000,1,MI,26121,5,2,35-44,90,2,49,360,2,645000,1
1,2725000,1,NY,36119,5,1,35-44,1524,1,20%-<30%,360,1,3405000,1
1,1455000,1,OR,41017,5,1,35-44,358,1,40,360,2,1555000,1
1,515000,1,MA,25009,5,1,25-34,176,1,20%-<30%,360,2,645000,1
1,525000,1,TX,48201,5,1,45-54,339,2,20%-<30%,360,2,1075000,1
1,2505000,1,MD,24041,5,1,55-64,1837,3,<20%,360,1,4225000,1
1,1205000,1,TX,48257,5,1,45-54,392,2,42,360,2,1905000,1
1,285000,1,AZ,04013,5,1,65-74,221,2,30%-<36%,360,2,635000,1
1,1315000,1,FL,12099,5,1,35-44,504,3,40,360,2,1755000,1
3,535000,1,MA,25025,5,1,>74,234,1,48,360,1,985000,1
1,585000,1,FL,12057,5,1,35-44,287,3,41,360,2,735000,1
1,515000,1,AZ,04013,5,1,55-64,249,2,30%-<36%,360,2,1675000,1
2,455000,1,TX,48029,5,2,55-64,175,3,37,360,2,485000,1
1,565000,1,MD,24031,5,2,55-64,164,1,20%-<30%,360,2,755000,1
1,1765000,1,NY,36059,5,2,35-44,,1,20%-<30%,360,2,2205000,1
1,995000,1,CT,09001,5,2,25-34,276,3,50%-60%,360,2,2705000,1
1,515000,1,MI,26163,5,2,35-44,212,1,30%-<36%,360,2,545000,1
1,1205000,1,FL,12081,5,1,55-64,814,1,30%-<36%,360,2,2355000,1
1,925000,1,OK,40143,5,1,45-54,,2,<20%,360,1,925000,1
1,515000,1,CT,09007,5,1,65-74,156,3,30%-<36%,360,2,1275000,1
1,1435000,1,TX,48201,5,1,45-54,,2,37,360,2,1795000,1
1,835000,1,NJ,34013,5,1,35-44,652,1,20%-<30%,360,2,1305000,1
1,2105000,1,FL,12021,5,1,65-74,568,2,47,360,1,3505000,1
1,585000,1,ME,23005,5,1,65-74,210,3,20%-<30%,360,2,765000,1
1,705000,1,AL,01101,5,1,65-74,295,3,42,180,2,1005000,1
2,1655000,1,CA,06059,5,1,45-54,1312,3,20%-<30%,360,1,2755000,1
1,205000,3,PA,42003,5,1,55-64,49,1,50%-60%,180,2,345000,0
1,755000,1,NJ,34003,5,1,55-64,351,2,20%-<30%,360,2,945000,1
1,1005000,1,FL,12057,5,1,65-74,372,3,36,360,1,1535000,1
1,245000,1,MI,26103,5,2,45-54,90,2,30%-<36%,360,2,485000,1
1,1955000,1,CA,06075,5,1,35-44,671,1,36,360,2,3905000,1
1,2005000,1,MD,24031,3,2,45-54,773,2,42,360,1,2505000,1
1,1125000,1,NY,36047,5,2,35-44,329,2,43,360,2,1885000,1
1,1145000,1,GA,13089,5,1,35-44,,3,30%-<36%,360,2,1425000,1
2,515000,1,LA,22071,5,2,55-64,447,1,30%-<36%,360,1,645000,1
1,565000,1,FL,12033,5,2,25-34,210,1,20%-<30%,360,2,595000,1
1,515000,1,CA,06037,5,1,35-44,305,3,48,360,2,925000,1
2,4055000,1,CA,06053,2,1,55-64,1363,1,43,360,2,9305000,1
1,345000,1,OR,41017,5,2,35-44,79,3,47,360,1,995000,1
1,625000,1,TX,48085,3,1,45-54,291,1,20%-<30%,360,2,785000,1
1,395000,1,FL,12115,5,2,55-64,160,1,30%-<36%,360,2,495000,1
1,615000,1,FL,12115,5,2,>74,289,3,20%-<30%,360,2,1625000,1
2,735000,1,NJ,34029,5,1,45-54,457,1,44,360,1,2985000,1
1,1025000,1,CO,08059,5,1,55-64,279,1,39,360,1,2225000,1
1,1085000,1,CA,06065,5,1,55-64,367,1,44,360,2,1355000,1
1,315000,1,NJ,34027,5,2,25-34,201,1,44,360,2,335000,1
1,3005000,1,NJ,34013,5,1,45-54,554,3,50%-60%,360,1,3605000,1
1,515000,1,MA,25017,5,2,55-64,137,1,43,360,2,955000,1
1,545000,1,VA,51800,3,2,55-64,277,3,20%-<30%,360,2,685000,1
1,695000,1,NJ,34025,5,1,55-64,266,1,38,360,2,995000,1
3,1665000,3,NY,36061,5,1,35-44,295,9,>60%,360,1,2405000,0
3,775000,1,CA,06037,5,2,55-64,4991,1,<20%,360,1,1405000,1
1,1575000,1,NY,36119,5,1,45-54,533,1,36,360,1,2105000,1
1,1065000,1,FL,12101,5,1,<25,348,3,39,360,2,1335000,1
1,685000,1,NY,36103,5,1,>74,233,2,43,360,2,975000,1
1,745000,3,NJ,34017,5,1,35-44,,1,20%-<30%,360,2,865000,0
1,405000,1,FL,12086,5,1,45-54,3750,1,<20%,300,1,1625000,1
2,2295000,1,FL,12099,5,1,65-74,859,3,50%-60%,360,1,3055000,1
1,2215000,1,NC,37119,5,1,35-44,2823,2,<20%,360,1,2955000,1
1,2505000,1,NY,36119,5,2,35-44,1452,3,20%-<30%,360,1,5455000,1
1,565000,1,TX,48085,5,1,45-54,198,1,43,360,2,705000,1
1,765000,1,WI,55005,5,1,55-64,198,2,41,360,1,765000,1
1,515000,1,PA,42003,5,1,35-44,268,1,44,360,2,605000,1
1,1925000,1,TN,47037,5,1,35-44,643,1,41,360,2,2405000,1
1,525000,1,NY,36061,5,2,25-34,175,3,30%-<36%,360,2,1055000,1
1,1195000,1,OH,39061,5,2,35-44,360,3,36,360,2,1605000,1
1,555000,1,NY,36059,5,1,25-34,130,1,44,360,2,1905000,1
1,6655000,1,TX,48113,5,1,65-74,5856,3,20%-<30%,300,1,9505000,1
1,525000,1,CT,09003,5,2,45-54,301,3,41,360,2,665000,1
2,985000,1,CA,06037,2,1,55-64,450,1,42,360,2,1405000,1
1,605000,1,SC,45013,5,2,55-64,139,3,49,360,1,905000,1
1,525000,1,NC,37129,5,1,65-74,267,2,<20%,360,2,635000,1
1,595000,1,AZ,04021,5,1,>74,137,3,44,360,2,745000,1
1,2245000,1,NJ,34035,5,1,35-44,3250,2,<20%,360,2,2805000,1
1,2005000,1,FL,12099,5,1,45-54,2035,1,20%-<30%,360,1,6135000,1
1,3005000,1,TX,48201,5,1,55-64,1486,1,46,360,2,4725000,1
1,755000,1,NY,36059,5,1,45-54,361,3,41,360,2,2605000,1
1,3485000,1,CO,08059,5,2,35-44,947,2,30%-<36%,360,1,4655000,1
1,805000,1,FL,12099,5,1,45-54,205,2,50%-60%,360,2,1325000,1
2,555000,1,PA,42111,5,1,65-74,307,3,39,360,1,1225000,1
1,1605000,1,MA,25017,5,1,45-54,601,3,20%-<30%,360,2,2005000,1
1,645000,1,NY,36119,5,2,35-44,329,3,20%-<30%,360,2,915000,1
1,725000,1,CA,06087,5,2,55-64,230,1,42,360,2,1035000,1
1,755000,1,FL,12099,5,1,35-44,996,2,<20%,360,1,1055000,1
1,1215000,1,MO,29189,5,1,25-34,523,1,20%-<30%,360,2,1525000,1
3,235000,1,ID,16013,5,1,55-64,107,2,30%-<36%,360,2,435000,1
1,1005000,1,NY,36059,2,1,35-44,,2,20%-<30%,360,2,1255000,1
1,515000,1,PA,42077,5,1,>74,132,1,43,360,2,615000,1
1,665000,1,NJ,34025,5,1,35-44,193,3,46,360,2,1665000,1
1,685000,1,NY,36119,2,1,55-64,297,1,38,360,2,855000,1
1,585000,1,FL,12035,5,1,65-74,183,2,40,360,1,705000,1
1,1805000,1,IL,17031,5,1,35-44,746,2,40,360,2,2255000,1
2,725000,1,NY,36061,3,2,55-64,1331,1,39,360,2,1055000,1
1,835000,1,SC,45019,5,1,25-34,,3,20%-<30%,360,2,1045000,1
2,5005000,1,MA,25019,5,1,45-54,2029,2,30%-<36%,360,1,7255000,1
1,1365000,1,FL,12086,5,1,25-34,410,1,42,360,1,1905000,1
2,525000,1,TX,48171,5,2,45-54,348,1,30%-<36%,360,2,1105000,1
1,1005000,1,IL,17097,5,1,65-74,,2,49,360,2,1375000,1
1,675000,1,OR,41017,5,1,35-44,311,2,50%-60%,360,2,905000,1
1,595000,1,NY,36103,2,1,45-54,248,1,41,360,2,1105000,1
3,605000,1,OR,41017,5,1,35-44,311,2,50%-60%,360,2,905000,1
2,385000,1,MS,28057,5,2,55-64,107,1,37,360,2,385000,1
1,795000,1,NY,36059,5,1,45-54,296,2,30%-<36%,360,2,995000,1
1,525000,1,CT,09001,5,2,35-44,150,3,30%-<36%,360,2,755000,1
1,1065000,1,NY,36061,5,1,35-44,,2,<20%,360,2,2675000,1
1,785000,1,NJ,34039,5,2,25-34,,3,20%-<30%,360,2,985000,1
2,245000,1,FL,12081,2,2,65-74,189,3,38,360,2,325000,1
1,875000,1,NY,36047,5,2,25-34,310,1,38,360,1,1375000,1
2,855000,1,NJ,34029,5,2,45-54,648,1,36,360,2,1485000,1
1,785000,1,LA,22055,5,1,45-54,,3,42,360,2,975000,1
1,625000,1,MA,25003,5,2,25-34,132,3,40,360,2,1425000,1
1,645000,1,FL,12081,5,2,55-64,259,3,41,360,1,685000,1
2,635000,1,MT,30029,5,1,45-54,659,1,<20%,360,2,855000,1
1,745000,1,NJ,34025,5,1,65-74,262,2,30%-<36%,360,1,935000,1
1,1685000,1,CO,08013,5,1,25-34,373,1,42,360,2,2105000,1
1,615000,1,NY,36047,5,2,>74,185,3,30%-<36%,360,1,2105000,1
1,295000,1,CT,09001,5,2,>74,89,1,49,360,1,1055000,1
1,1205000,1,NY,36061,5,2,25-34,470,3,30%-<36%,360,1,3255000,1
1,1075000,1,NY,36061,5,2,35-44,265,3,30%-<36%,360,2,1425000,1
1,1595000,1,CA,06037,5,1,65-74,351,2,39,360,2,2495000,1
1,1885000,1,FL,12085,5,2,55-64,788,3,50%-60%,360,1,2355000,1
1,2005000,1,CO,08117,5,2,55-64,,2,20%-<30%,360,1,3005000,1
1,3035000,1,MD,24003,5,1,55-64,2207,3,30%-<36%,360,2,3795000,1
2,365000,1,NJ,34013,5,1,55-64,169,3,30%-<36%,360,2,565000,1
2,905000,1,CA,06065,5,1,65-74,379,1,43,360,1,1935000,1
1,1035000,1,NY,36061,5,1,25-34,284,3,30%-<36%,360,2,1435000,1
3,515000,3,TN,47155,5,1,35-44,139,1,>60%,360,1,575000,0
1,515000,1,NY,36119,5,1,35-44,272,1,30%-<36%,360,2,1555000,1
1,265000,1,OK,40119,5,2,55-64,89,3,45,360,2,325000,1
1,515000,1,AL,01103,5,1,45-54,345,3,30%-<36%,360,2,1485000,1
1,405000,1,NY,36055,5,2,65-74,213,3,39,360,2,515000,1
1,1005000,1,FL,12071,5,1,45-54,1120,1,20%-<30%,360,2,3605000,1
1,3805000,1,CA,06081,5,1,35-44,1065,3,50%-60%,360,1,12205000,1
1,205000,1,VA,51125,5,1,55-64,160,2,20%-<30%,360,2,585000,1
1,515000,1,IL,17093,5,1,<25,456,3,36,360,1,545000,1
1,515000,1,MA,25021,5,2,25-34,233,3,20%-<30%,360,2,965000,1
2,1095000,1,NJ,34037,5,1,55-64,990,1,30%-<36%,360,2,1755000,1
1,1005000,1,FL,12031,5,1,55-64,1365,2,20%-<30%,360,1,3505000,1
1,665000,1,OH,39061,2,1,35-44,247,3,40,360,2,825000,1
1,405000,1,GA,13097,3,2,45-54,369,2,37,300,1,595000,1
1,755000,1,NY,36081,5,1,25-34,153,1,44,360,2,1755000,1
1,635000,1,WA,53033,5,1,45-54,180,1,30%-<36%,360,2,1275000,1
2,305000,3,MN,27053,5,1,55-64,136,2,>60%,300,1,405000,0
1,515000,1,TX,48491,5,1,55-64,231,3,47,360,2,1225000,1
1,1195000,1,NY,36061,5,2,55-64,572,3,43,360,2,1995000,1
1,595000,1,NY,36059,5,2,55-64,1055,1,47,360,2,995000,1
1,705000,1,TX,48021,5,1,35-44,285,1,30%-<36%,360,2,875000,1
1,3015000,1,UT,49049,5,1,35-44,,3,43,360,1,4305000,1
1,1325000,1,GA,13121,5,1,45-54,830,2,30%-<36%,360,2,1325000,1
1,3995000,1,WY,56039,5,2,55-64,835,1,47,360,1,3995000,1
1,655000,1,MA,25017,5,2,25-34,199,1,20%-<30%,360,2,825000,1
1,705000,1,CA,06053,5,1,65-74,397,3,20%-<30%,360,2,1505000,1
3,725000,1,OR,41043,5,1,45-54,350,1,38,360,1,735000,1
2,905000,1,NY,36103,5,1,25-34,628,3,40,360,1,1425000,1
2,1275000,1,NC,37021,5,1,55-64,589,2,42,360,1,1825000,1
1,2605000,1,NY,36103,5,2,65-74,739,3,30%-<36%,360,1,7755000,1
1,2795000,1,NY,36119,5,1,45-54,5369,1,<20%,360,1,3995000,1
1,605000,1,NY,36047,5,1,25-34,172,3,40,360,2,755000,1
1,605000,1,RI,44005,5,1,35-44,245,1,36,360,2,1175000,1
1,445000,1,CA,06111,5,1,65-74,123,3,41,360,2,635000,1
1,1205000,1,AL,01125,5,1,35-44,,1,45,360,2,1855000,1
1,805000,1,TX,48339,5,1,25-34,344,1,47,360,2,1305000,1
1,515000,1,NY,36061,5,2,45-54,189,3,30%-<36%,360,2,995000,1
1,885000,1,KY,21067,5,1,45-54,262,1,44,360,2,1105000,1
1,775000,1,NC,37125,5,1,35-44,480,1,30%-<36%,360,2,1105000,1
1,945000,1,NY,36061,5,2,25-34,290,3,36,360,2,1355000,1
1,315000,1,NC,37189,5,1,35-44,111,2,30%-<36%,360,2,525000,1
1,435000,1,MD,24003,5,1,55-64,,2,20%-<30%,360,2,875000,1
1,605000,1,MT,30043,5,1,35-44,236,3,50%-60%,360,2,865000,1
1,1515000,1,NY,36061,5,1,35-44,585,1,40,360,1,2165000,1
1,605000,1,NJ,34035,5,1,65-74,545,3,20%-<30%,360,2,915000,1
2,335000,1,CA,06065,5,1,55-64,199,3,47,360,1,955000,1
1,2485000,1,TN,47187,5,2,45-54,761,1,30%-<36%,360,1,3535000,1
1,515000,1,CA,06073,5,2,65-74,211,2,30%-<36%,360,2,1255000,1
1,1105000,1,NY,36061,2,2,45-54,390,3,30%-<36%,360,2,2315000,1
1,2105000,1,NY,36061,5,1,55-64,1596,3,<20%,360,1,4205000,1
1,1535000,1,CA,06013,5,2,35-44,362,1,40,360,2,2535000,1
1,605000,1,FL,12015,5,2,55-64,397,1,<20%,360,2,755000,1
1,1005000,3,WA,53033,5,1,55-64,956,3,42,300,1,3455000,0
1,775000,1,FL,12081,5,2,35-44,237,3,39,360,2,965000,1
1,555000,1,IA,19153,5,1,35-44,240,1,37,360,2,715000,1
2,2105000,1,CA,06037,5,1,45-54,1076,1,50%-60%,360,2,2805000,1
2,335000,1,IL,17031,5,1,55-64,697,3,46,360,2,445000,1
1,565000,1,IL,17043,5,1,55-64,692,2,30%-<36%,360,2,1305000,1
1,7005000,1,TX,48453,5,1,45-54,2158,1,39,360,2,10005000,1
1,525000,1,VA,51041,3,2,55-64,,2,36,360,2,605000,1
3,535000,1,IL,17043,5,1,35-44,1719,2,30%-<36%,360,1,565000,1
1,755000,1,OK,40109,5,1,55-64,463,2,30%-<36%,180,2,1705000,1
1,865000,1,NY,36061,5,2,55-64,,1,44,360,2,1155000,1
2,855000,1,VA,51119,5,1,55-64,252,1,30%-<36%,360,1,855000,1
1,815000,1,CA,06111,5,1,55-64,272,3,50%-60%,360,2,1085000,1
1,1005000,1,DE,10003,5,1,65-74,302,3,48,360,2,2515000,1
1,555000,1,WA,53053,5,1,55-64,228,1,30%-<36%,360,2,745000,1
1,305000,1,AL,01089,5,1,<25,81,2,30%-<36%,360,2,385000,1
1,385000,1,NJ,34029,5,1,25-34,392,1,38,360,2,485000,1
2,13005000,1,CA,06083,5,1,45-54,3052,3,48,360,1,13005000,1
1,1125000,1,IL,17031,5,1,55-64,,1,20%-<30%,180,2,1415000,1
1,655000,1,NJ,34019,5,1,45-54,527,2,41,360,1,895000,1
1,465000,1,KY,21111,5,1,25-34,131,2,30%-<36%,360,2,635000,1
1,1655000,1,NY,36061,5,2,55-64,497,3,30%-<36%,360,2,2205000,1
2,535000,1,NY,36103,5,1,55-64,798,1,<20%,360,1,2205000,1
1,225000,1,CA,06033,5,1,35-44,92,1,42,360,2,295000,1
1,1325000,1,TX,48201,5,1,35-44,577,1,30%-<36%,360,2,1655000,1
1,915000,1,FL,12011,5,1,35-44,193,2,50%-60%,360,2,1575000,1
1,445000,1,IL,17031,5,2,25-34,247,3,46,360,1,555000,1
2,705000,1,NY,36103,5,1,55-64,303,3,46,360,2,935000,1
3,2115000,1,CO,08037,5,1,35-44,1031,1,50%-60%,360,1,5305000,1
1,2405000,3,UT,49049,5,1,35-44,2499,2,41,360,1,1905000,0
3,515000,1,CA,06085,2,1,65-74,412,1,20%-<30%,360,2,2425000,1
1,2505000,1,TX,48453,5,1,35-44,1072,3,37,360,2,5005000,1
1,945000,1,NY,36061,5,2,55-64,450,1,30%-<36%,360,1,1355000,1
1,1005000,1,TX,48453,5,2,45-54,475,3,20%-<30%,360,2,4065000,1
1,605000,1,PA,42029,5,1,25-34,260,3,20%-<30%,360,2,955000,1
1,1005000,3,FL,12103,5,1,45-54,56,3,>60%,360,2,2865000,0
1,605000,1,FL,12099,5,1,>74,267,3,37,360,2,1405000,1
3,725000,1,NM,35049,5,1,65-74,902,2,20%-<30%,360,1,1425000,1
1,685000,1,NJ,34017,5,1,25-34,,1,20%-<30%,360,1,855000,1
1,675000,1,CA,06013,5,2,35-44,286,1,20%-<30%,360,2,1645000,1
1,615000,1,NC,37037,5,2,45-54,242,1,37,360,2,955000,1
2,555000,1,NJ,34025,5,1,65-74,217,1,20%-<30%,360,2,2405000,1
1,1065000,1,NY,36119,5,2,35-44,,3,20%-<30%,360,2,1565000,1
2,635000,1,NY,36047,5,2,55-64,503,3,30%-<36%,360,2,845000,1
1,755000,1,AZ,04013,5,1,65-74,262,3,46,360,2,2105000,1
1,515000,1,NC,37183,5,1,55-64,143,1,30%-<36%,360,2,745000,1
1,515000,1,CA,06065,5,1,55-64,255,1,20%-<30%,360,1,1715000,1
1,205000,1,WI,55089,5,1,65-74,160,2,<20%,360,1,315000,1
1,605000,1,FL,12115,5,2,>74,144,3,45,360,2,1755000,1
1,805000,1,SC,45045,5,2,55-64,294,2,41,360,2,1055000,1
2,1165000,1,NY,36061,5,1,45-54,627,3,20%-<30%,360,2,1935000,1
1,555000,1,AZ,04025,5,1,65-74,132,1,30%-<36%,360,2,755000,1
1,735000,1,NJ,34027,5,2,45-54,279,1,30%-<36%,360,2,935000,1
1,355000,1,PA,42029,5,2,45-54,84,1,48,360,2,445000,1
1,495000,1,NY,36061,5,1,35-44,229,3,40,360,2,665000,1
2,515000,1,WI,55127,5,1,55-64,200,3,47,360,2,875000,1
2,515000,1,NY,36061,5,1,55-64,203,1,37,360,2,835000,1
1,795000,1,MA,25009,5,2,35-44,382,2,30%-<36%,360,2,995000,1
1,1545000,1,MA,25021,5,1,35-44,592,3,43,360,1,2205000,1
1,715000,1,MA,25017,5,2,25-34,387,1,42,360,2,1205000,1
3,1805000,1,WA,53007,5,1,45-54,640,3,48,360,1,1805000,1
2,345000,1,MN,27111,5,1,35-44,217,2,30%-<36%,360,2,725000,1
1,555000,1,NJ,34007,5,1,35-44,,3,30%-<36%,360,2,795000,1
1,535000,1,MA,25009,5,2,25-34,238,1,20%-<30%,360,2,675000,1
1,675000,1,NY,36061,5,1,25-34,,2,47,360,2,1675000,1
2,1225000,1,CA,06065,5,2,65-74,413,3,43,360,2,1635000,1
3,95000,1,MN,27053,5,2,<25,63,3,46,360,2,345000,1
1,215000,1,OH,39061,5,2,>74,109,1,20%-<30%,360,2,265000,1
2,455000,1,FL,12113,5,1,55-64,171,3,50%-60%,360,2,735000,1
1,425000,3,GA,13073,5,2,45-54,73,1,>60%,360,2,665000,0
1,515000,1,CO,08113,5,1,>74,130,3,46,360,2,635000,1
1,515000,1,KY,21067,5,1,45-54,214,1,20%-<30%,360,2,905000,1
3,805000,1,CA,06073,5,1,55-64,471,3,43,360,2,1345000,1
1,515000,1,WA,53033,5,1,55-64,,1,20%-<30%,360,2,1075000,1
1,315000,1,FL,12071,5,2,35-44,66,2,43,360,2,405000,1
1,1505000,1,TX,48491,5,1,65-74,1045,3,20%-<30%,360,2,2455000,1
