group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.23334765792866352,0.6145454545454545,0.11536297129994373,0.24147874116897583,0.8162712454795837,-0.007983110219241307
25-34,6117,0.23573647212685958,0.23050514958312898,0.6449375866851595,0.10267379679144385,0.24401289224624634,0.8186871409416199,-0.010825618564775846
35-44,4984,0.23595505617977527,0.24879614767255218,0.6615646258503401,0.1213235294117647,0.25215861201286316,0.8159934878349304,0.0074653795246473476
45-54,3678,0.27732463295269166,0.25774877650897227,0.6480392156862745,0.10797592174567344,0.25791263580322266,0.8149979710578918,0.016418008361067438
55-64,2618,0.3326967150496562,0.28113063407181055,0.6142365097588978,0.11505437893531768,0.27473339438438416,0.8074108958244324,0.03979986592390572
65-74,1211,0.33773740710156896,0.12881915772089184,0.2665036674816626,0.05860349127182045,0.20961707830429077,0.8173969388008118,-0.11251161042701299
>74,376,0.2553191489361702,0.2925531914893617,0.71875,0.14642857142857144,0.2526228129863739,0.8037508130073547,0.05122242334145688
