group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.22277227722772278,0.5,0.07575757575757576,0.2865196764469147,0.7490853667259216,0.08514382243911595
Black,4224,0.17021780303030304,0.08096590909090909,0.25591098748261476,0.04507845934379458,0.21603651344776154,0.7912763953208923,-0.05666254569769774
White,16885,0.2827953805152502,0.15078472016582767,0.3757068062827225,0.06209744013212221,0.2654654383659363,0.7532539963722229,0.013156265377220838
