group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.13107004727116459,0.3327272727272727,0.0686550365785031,0.2617589831352234,0.753119707107544,-0.006558407517442244
25-34,6117,0.23573647212685958,0.1399378780447932,0.3973647711511789,0.06053475935828877,0.26150959730148315,0.7555756568908691,0.0023094232561863826
35-44,4984,0.23595505617977527,0.14707062600321028,0.40816326530612246,0.0664390756302521,0.26011359691619873,0.7578709125518799,0.009442171214603445
45-54,3678,0.27732463295269166,0.1533442088091354,0.4088235294117647,0.055304740406320545,0.259959876537323,0.7586265206336975,0.015715754020528577
55-64,2618,0.3326967150496562,0.16730328495034377,0.3777267508610792,0.06239267315397825,0.2636246085166931,0.7554711103439331,0.029674830161736943
65-74,1211,0.33773740710156896,0.02559867877786953,0.06601466992665037,0.004987531172069825,0.19456657767295837,0.8100939989089966,-0.1120297760107373
>74,376,0.2553191489361702,0.015957446808510637,0.041666666666666664,0.007142857142857143,0.17474450170993805,0.8289637565612793,-0.1216710079800962
