group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.054455445544554455,0.07142857142857142,0.045454545454545456,0.27484822273254395,0.7299949526786804,0.03512270658345455
Black,4224,0.17021780303030304,0.006865530303030303,0.02086230876216968,0.003994293865905849,0.23006485402584076,0.7701690196990967,-0.0124672086580696
White,16885,0.2827953805152502,0.022031388806633107,0.05780104712041885,0.007927332782824112,0.26506149768829346,0.7360279560089111,0.0026986498455332034
