group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.014181349376880103,0.034545454545454546,0.007878446820483961,0.26391056180000305,0.736656665802002,-0.0051513895842198
25-34,6117,0.23573647212685958,0.01781919241458231,0.05131761442441054,0.0074866310160427805,0.2646689713001251,0.7360714077949524,-0.0015135465465175926
35-44,4984,0.23595505617977527,0.022070626003210272,0.06547619047619048,0.008665966386554622,0.262784868478775,0.7382683157920837,0.0027378870421103686
45-54,3678,0.27732463295269166,0.02528548123980424,0.07254901960784314,0.0071482317531978935,0.26287806034088135,0.7387457489967346,0.005952742278704338
55-64,2618,0.3326967150496562,0.02215431627196333,0.05166475315729047,0.007441327990841442,0.260129451751709,0.7409694194793701,0.0028215773108634275
65-74,1211,0.33773740710156896,0.005780346820809248,0.014669926650366748,0.0012468827930174563,0.20734353363513947,0.792945921421051,-0.013552392140290654
>74,376,0.2553191489361702,0.005319148936170213,0.010416666666666666,0.0035714285714285713,0.16244511306285858,0.8377272486686707,-0.01401359002492969
