attribute,metric,value
sex,demographic_parity_gap,0.015705119285554445
sex,equal_opportunity_gap,0.03299279703323349
sex,false_positive_rate_gap,0.004072227459432215
race,demographic_parity_gap,0.04758991524152415
race,equal_opportunity_gap,0.05056626266640174
race,false_positive_rate_gap,0.041460251588639606
age,demographic_parity_gap,0.019966332303634027
age,equal_opportunity_gap,0.06213235294117648
age,false_positive_rate_gap,0.0074190835935371655
