epoch,loss,classification_loss,mmd_loss
1,0.5912548303604126,0.5912530422210693,4.450479991646716e-06
2,0.5624006986618042,0.5623974204063416,8.185704245988745e-06
3,0.6038105487823486,0.6038066744804382,9.735425010148901e-06
4,0.5804155468940735,0.5804078578948975,1.923243144119624e-05
5,0.6067143082618713,0.6067080497741699,1.5576681107631885e-05
6,0.5755001902580261,0.5754439830780029,0.0001405477523803711
7,0.5372803807258606,0.5372732877731323,1.7762184143066406e-05
8,0.5390142798423767,0.5389851927757263,7.275740063050762e-05
9,0.5334461331367493,0.5334232449531555,5.726019662688486e-05
10,0.6067234873771667,0.606410801410675,0.0007817347650416195
11,0.4418889880180359,0.4418533444404602,8.908907329896465e-05
12,0.5040755271911621,0.5038443207740784,0.0005779663915745914
13,0.484751433134079,0.4845759868621826,0.00043865045881830156
14,0.4818926155567169,0.48169922828674316,0.0004834731516893953
15,0.4618443250656128,0.46159493923187256,0.0006234645843505859
16,0.47248148918151855,0.4719615578651428,0.0012998183956369758
17,0.4491555094718933,0.44900184869766235,0.00038413205766119063
18,0.46464911103248596,0.4645269215106964,0.0003054936823900789
19,0.3970112204551697,0.39698508381843567,6.532669067382812e-05
20,0.40233471989631653,0.4019201397895813,0.0010364452609792352
