group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.13021057155135368,0.3327272727272727,0.06752954417557681,0.26173123717308044,0.7530652284622192,-0.00704249024771722
25-34,6117,0.23573647212685958,0.13977439921530163,0.3973647711511789,0.06032085561497326,0.2614798843860626,0.7555140852928162,0.002521337416230729
35-44,4984,0.23595505617977527,0.14686998394863562,0.40816326530612246,0.0661764705882353,0.26008325815200806,0.7577994465827942,0.009616922149564722
45-54,3678,0.27732463295269166,0.1528004350190321,0.4068627450980392,0.055304740406320545,0.2599388360977173,0.7585421204566956,0.015547373219961191
55-64,2618,0.3326967150496562,0.16653934300993126,0.37657864523536166,0.061820263308528904,0.2635941803455353,0.7553830146789551,0.029286281210860354
65-74,1211,0.33773740710156896,0.02559867877786953,0.06601466992665037,0.004987531172069825,0.1946188062429428,0.8100178837776184,-0.11165438302120137
>74,376,0.2553191489361702,0.015957446808510637,0.041666666666666664,0.007142857142857143,0.17493191361427307,0.828760027885437,-0.12129561499056027
