group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.22277227722772278,0.5,0.07575757575757576,0.2864755690097809,0.7489307522773743,0.08551921542865187
Black,4224,0.17021780303030304,0.08049242424242424,0.2545201668984701,0.044793152639087015,0.21602778136730194,0.7912320494651794,-0.05676063755664666
White,16885,0.2827953805152502,0.15042937518507551,0.37528795811518323,0.061767134599504545,0.26544323563575745,0.7531740069389343,0.013176313386004612
