group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.13149978513107005,0.3327272727272727,0.06921778277996624,0.26174744963645935,0.7532040476799011,-0.00659791089445666
25-34,6117,0.23573647212685958,0.14042831453326793,0.3973647711511789,0.0611764705882353,0.26150330901145935,0.7556660175323486,0.0023306185077412167
35-44,4984,0.23595505617977527,0.14747191011235955,0.40901360544217685,0.0667016806722689,0.2601073980331421,0.7579668760299683,0.009374214086832838
45-54,3678,0.27732463295269166,0.15415986949429036,0.4117647058823529,0.055304740406320545,0.259948194026947,0.7587306499481201,0.016062173468763652
55-64,2618,0.3326967150496562,0.16768525592055003,0.3788748564867968,0.06239267315397825,0.2636171579360962,0.7555789351463318,0.02958755989502332
65-74,1211,0.33773740710156896,0.02559867877786953,0.06601466992665037,0.004987531172069825,0.194477841258049,0.8102021813392639,-0.11249901724765718
>74,376,0.2553191489361702,0.015957446808510637,0.041666666666666664,0.007142857142857143,0.17457890510559082,0.8291413187980652,-0.12214024921701608
