attribute,metric,value
sex,demographic_parity_gap,0.06195116766802729
sex,equal_opportunity_gap,0.07940620621376493
sex,false_positive_rate_gap,0.018495009805961006
race,demographic_parity_gap,0.14156962571257126
race,equal_opportunity_gap,0.24408901251738524
race,false_positive_rate_gap,0.03039380970907362
age,demographic_parity_gap,0.1517278091120394
age,equal_opportunity_gap,0.37009803921568624
age,false_positive_rate_gap,0.06423025160789642
