group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.09497206703910614,0.24545454545454545,0.04839617332583005,0.2591305673122406,0.750718891620636,-0.01060721126787148
25-34,6117,0.23573647212685958,0.10609776034003597,0.31761442441054094,0.04085561497326203,0.258878231048584,0.7525559663772583,0.0005184820330583484
35-44,4984,0.23595505617977527,0.11135634028892456,0.3239795918367347,0.04569327731092437,0.25750061869621277,0.7546125054359436,0.00577706198194694
45-54,3678,0.27732463295269166,0.12180532898314302,0.33431372549019606,0.04025583145221971,0.2576668858528137,0.7548968195915222,0.016226050676165393
55-64,2618,0.3326967150496562,0.1306340718105424,0.29965556831228474,0.04636519748139668,0.26154306530952454,0.7513552904129028,0.02505479350356478
65-74,1211,0.33773740710156896,0.023947151114781174,0.061124694376528114,0.004987531172069825,0.20132486522197723,0.8021921515464783,-0.08163212719219645
>74,376,0.2553191489361702,0.015957446808510637,0.041666666666666664,0.007142857142857143,0.1853131204843521,0.817588746547699,-0.08962183149846699
