epoch,loss,classification_loss,group_mmd_loss,fairness_loss
1,0.5913661122322083,0.5912982821464539,0.0001691049983492121,2.1278196982166264e-07
2,0.5625469088554382,0.5624639391899109,0.00020546381711028516,1.0000114798458526e-06
3,0.6040398478507996,0.603908896446228,0.0003224778629373759,2.446428879920859e-06
4,0.5808362364768982,0.5806138515472412,0.0005436564097180963,6.206135367392562e-06
5,0.6070041656494141,0.606715202331543,0.0006834876840002835,1.9425629943725653e-05
6,0.576216459274292,0.5755741000175476,0.001561661483719945,2.215611129940953e-05
7,0.539698600769043,0.5389330387115479,0.0018384427530691028,3.7668534787371755e-05
8,0.5412449240684509,0.5396655797958374,0.003605914069339633,0.00017122009012382478
9,0.5408436059951782,0.5388314127922058,0.004769896622747183,0.0001303321769228205
10,0.6106119155883789,0.6085589528083801,0.004480971023440361,0.00032576656667515635
11,0.4471825957298279,0.4454916715621948,0.0037196404300630093,0.000253833772148937
12,0.5124587416648865,0.5060869455337524,0.012824758887290955,0.0015523029724135995
13,0.4973779320716858,0.49490129947662354,0.00534918112680316,0.00042123545426875353
14,0.4924856126308441,0.48902392387390137,0.006722372956573963,0.0009659329080022871
15,0.466566264629364,0.46344640851020813,0.006488281302154064,0.000655673211440444
16,0.48013365268707275,0.47685158252716064,0.005289798136800528,0.001457707490772009
17,0.4560089409351349,0.4509947597980499,0.010682085528969765,0.0009266769047826529
18,0.4785342514514923,0.46691811084747314,0.02427690662443638,0.0023817382752895355
19,0.40797728300094604,0.3996679186820984,0.016010139137506485,0.002381639089435339
20,0.41310200095176697,0.4039592146873474,0.018076779320836067,0.002390095964074135
