group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.17326732673267325,0.4,0.05303030303030303,0.2825406789779663,0.7441120147705078,0.06768804842569563
Black,4224,0.17021780303030304,0.06131628787878788,0.1933240611961057,0.034236804564907276,0.21729761362075806,0.7872624397277832,-0.04426299042818974
White,16885,0.2827953805152502,0.11584246372519988,0.30115183246073296,0.04277456647398844,0.26300862431526184,0.7496603727340698,0.010263185418222256
