group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.04455445544554455,0.05714285714285714,0.03787878787878788,0.27452352643013,0.7300191521644592,0.026957909061048283
Black,4224,0.17021780303030304,0.00615530303030303,0.01808066759388039,0.003708987161198288,0.23019415140151978,0.7700050473213196,-0.01144124335419324
White,16885,0.2827953805152502,0.02013621557595499,0.05340314136125655,0.007018992568125516,0.264902800321579,0.7360774278640747,0.0025396691914587217
