epoch,loss,classification_loss,mmd_loss
1,0.5912597179412842,0.591255247592926,4.490216724661877e-06
2,0.5624092817306519,0.5624011754989624,8.106231689453125e-06
3,0.60382479429245,0.6038150787353516,9.735425010148901e-06
4,0.5804476141929626,0.5804284811019897,1.911322215164546e-05
5,0.606749415397644,0.6067338585853577,1.5536943465122022e-05
6,0.5756365656852722,0.5754973888397217,0.00013919670891482383
7,0.5374377965927124,0.5374202132225037,1.7563501387485303e-05
8,0.5391864776611328,0.5391143560409546,7.212162017822266e-05
9,0.5338837504386902,0.5338272452354431,5.650520324707031e-05
10,0.6074970960617065,0.6067267656326294,0.0007703304290771484
11,0.44243770837783813,0.44235143065452576,8.626779163023457e-05
12,0.5048299431800842,0.5042586326599121,0.0005713303689844906
13,0.4857426881790161,0.48531046509742737,0.00043221315718255937
14,0.48264119029045105,0.4821631610393524,0.0004780292510986328
15,0.46244093775749207,0.461831659078598,0.000609278678894043
