group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.01289213579716373,0.03272727272727273,0.006752954417557681,0.263812780380249,0.7366901636123657,-0.004704410587332539
25-34,6117,0.23573647212685958,0.015857446460683343,0.04507628294036061,0.006844919786096256,0.26451027393341064,0.7361431121826172,-0.0017390999238129264
35-44,4984,0.23595505617977527,0.02086677367576244,0.06207482993197279,0.008140756302521009,0.2626115381717682,0.7383308410644531,0.0032702272912661715
45-54,3678,0.27732463295269166,0.023110386079390973,0.0696078431372549,0.005267118133935289,0.26272571086883545,0.7387664914131165,0.005513839694894704
55-64,2618,0.3326967150496562,0.01948051948051948,0.04477611940298507,0.006868918145392101,0.26003533601760864,0.7409509420394897,0.0018839730960232108
65-74,1211,0.33773740710156896,0.005780346820809248,0.014669926650366748,0.0012468827930174563,0.20767991244792938,0.7925825715065002,-0.01181619956368702
>74,376,0.2553191489361702,0.0026595744680851063,0.0,0.0035714285714285713,0.16314396262168884,0.8370109796524048,-0.014936971916411163
