group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.19306930693069307,0.45714285714285713,0.05303030303030303,0.2848063111305237,0.7465105652809143,0.06857960677584346
Black,4224,0.17021780303030304,0.07315340909090909,0.23504867872044508,0.039942938659058486,0.2165815681219101,0.7894200682640076,-0.051336291063940526
White,16885,0.2827953805152502,0.1365116967722831,0.34554973821989526,0.05408753096614368,0.26441138982772827,0.7514673471450806,0.012021996617433472
