group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
<25,2327,0.23635582294800173,0.11688869789428448,0.3,0.06021384355655599,0.2605704367160797,0.7519208192825317,-0.0076010022605651345
25-34,6117,0.23573647212685958,0.12685957168546674,0.3668515950069348,0.05283422459893048,0.26031693816185,0.7541219592094421,0.002369871530617129
35-44,4984,0.23595505617977527,0.13142054574638845,0.3758503401360544,0.055934873949579834,0.2589428126811981,0.7562674880027771,0.006930845591538837
45-54,3678,0.27732463295269166,0.14110929853181076,0.3784313725490196,0.05003762227238525,0.2589615285396576,0.7568028569221497,0.016619598376961142
55-64,2618,0.3326967150496562,0.15049656226126815,0.3421354764638347,0.05495134516313681,0.2627388834953308,0.7534294128417969,0.026006862106418532
65-74,1211,0.33773740710156896,0.02559867877786953,0.06601466992665037,0.004987531172069825,0.19779255986213684,0.806349515914917,-0.09889102137698008
>74,376,0.2553191489361702,0.015957446808510637,0.041666666666666664,0.007142857142857143,0.18043392896652222,0.822932779788971,-0.10853225334633898
