model,applicant_race_1,race_label,n_rows,n_positive,n_negative,accuracy,tpr,fpr,tpr_gap,fpr_gap
Baseline,2,Asian,149,51,98,0.8412669897079468,0.8235294117647058,0.12244897959183673,0.2549019607843137,0.0491957865039329
Baseline,3,African American,3223,561,2662,0.8412669897079468,0.5686274509803921,0.07325319308790383,0.2549019607843137,0.0491957865039329
Baseline,5,White,13329,3839,9490,0.8412669897079468,0.6827298775722844,0.10273972602739725,0.2549019607843137,0.0491957865039329
Debiased,2,Asian,149,51,98,0.8364768624305725,0.7058823529411765,0.10204081632653061,0.07130124777183611,0.006810606223522073
Debiased,3,African American,3223,561,2662,0.8364768624305725,0.6345811051693404,0.10405709992486852,0.07130124777183611,0.006810606223522073
Debiased,5,White,13329,3839,9490,0.8364768624305725,0.6897629591039334,0.10885142255005269,0.07130124777183611,0.006810606223522073
