group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,selection_rate_minus_overall
25-34,6117,0.23573647212685958,0.2519208762465261,0.6837725381414702,0.11871657754010695,-0.008789554986170622
35-44,4984,0.23595505617977527,0.2702648475120385,0.7108843537414966,0.13419117647058823,0.009554416279341782
45-54,3678,0.27732463295269166,0.277868406742795,0.6882352941176471,0.12039127163280662,0.01715797551009829
55-64,2618,0.3326967150496562,0.30061115355233003,0.6567164179104478,0.12306811677160848,0.03990072231963332
65-74,1211,0.33773740710156896,0.13459950454170108,0.28117359413202936,0.059850374064837904,-0.12611092669099563
<25,2327,0.23635582294800173,0.2539750752041255,0.6727272727272727,0.12436691052335397,-0.006735356028571227
>74,376,0.2553191489361702,0.27925531914893614,0.6875,0.1392857142857143,0.018544887916239428
