group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,selection_rate_minus_overall
25-34,6117,0.23573647212685958,0.2440738924309302,0.6692094313453537,0.11294117647058824,-0.009550996124276012
35-44,4984,0.23595505617977527,0.2598314606741573,0.6862244897959183,0.12815126050420167,0.0062065721189510925
45-54,3678,0.27732463295269166,0.2705274605764002,0.6725490196078432,0.1162528216704289,0.016902572021193996
55-64,2618,0.3326967150496562,0.2929717341482047,0.6383467278989667,0.12077847738981111,0.0393468455929985
65-74,1211,0.33773740710156896,0.13790255986787778,0.28361858190709044,0.06359102244389027,-0.11572232868732843
<25,2327,0.23635582294800173,0.24838848302535455,0.6563636363636364,0.1221159257175014,-0.005236405529851662
>74,376,0.2553191489361702,0.2925531914893617,0.7395833333333334,0.1392857142857143,0.0389283029341555
