group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.3564356435643564,0.7,0.17424242424242425,0.10281075500915021
Black,4224,0.17021780303030304,0.17708333333333334,0.5563282336578581,0.0992867332382311,-0.07654155522187286
White,16885,0.2827953805152502,0.2715427894580989,0.6519371727748691,0.12155243600330305,0.01791790090289269
