group,n,base_positive_rate,selection_rate,true_positive_rate,false_positive_rate,mean_score,mean_confidence,selection_rate_minus_overall
Asian,202,0.3465346534653465,0.22277227722772278,0.5,0.07575757575757576,0.28651541471481323,0.749235987663269,0.08467458120219606
Black,4224,0.17021780303030304,0.08120265151515152,0.25591098748261476,0.04536376604850214,0.21600507199764252,0.7913544178009033,-0.05689504451037519
White,16885,0.2827953805152502,0.15131773763695588,0.3767539267015707,0.06242774566473988,0.26545393466949463,0.7533565163612366,0.013220041611429173
