group,n,base_positive_rate,selection_rate_baseline,true_positive_rate_baseline,false_positive_rate_baseline,selection_rate_minus_overall_baseline,selection_rate_os_sex,true_positive_rate_os_sex,false_positive_rate_os_sex,selection_rate_minus_overall_os_sex,selection_rate_os_race,true_positive_rate_os_race,false_positive_rate_os_race,selection_rate_minus_overall_os_race,selection_rate_os_age,true_positive_rate_os_age,false_positive_rate_os_age,selection_rate_minus_overall_os_age
25-34,6117,0.23573647212685958,0.3977439921530162,0.9112343966712899,0.23935828877005347,-0.008102753659005757,0.39480137322216774,0.9022191400832178,0.23828877005347593,-0.008042228673566854,0.3393820500245218,0.8203883495145631,0.19101604278074866,-0.002413266947933701,0.3714239006048717,0.8772538141470181,0.21540106951871657,-0.022973359026304707
35-44,4984,0.23595505617977527,0.4071027287319422,0.9064625850340136,0.25288865546218486,0.00125598291992024,0.4018860353130016,0.9030612244897959,0.24711134453781514,-0.0009575665827329938,0.3501203852327448,0.8324829931972789,0.20115546218487396,0.008325068260289281,0.38362760834670945,0.8852040816326531,0.22872899159663865,-0.010769651284466941
45-54,3678,0.27732463295269166,0.4051114736269712,0.8931372549019608,0.2178329571106095,-0.0007352721850507615,0.40212071778140296,0.8862745098039215,0.2163280662151994,-0.0007228841143316345,0.35073409461663946,0.8088235294117647,0.17494356659142213,0.008938777644183937,0.3871669385535617,0.8686274509803922,0.20240782543265612,-0.0072303210776146765
55-64,2618,0.3326967150496562,0.4495798319327731,0.8805970149253731,0.2346880366342301,0.04373308612075116,0.4442322383498854,0.8737083811710677,0.23010875787063537,0.04138863645415081,0.38617265087853325,0.8036739380022963,0.17801946193474527,0.04437733390607773,0.4369747899159664,0.8633754305396096,0.22438465941614197,0.04257753028479
65-74,1211,0.33773740710156896,0.39801816680429397,0.7481662591687042,0.2194513715710723,-0.007828579007727987,0.4079273327828241,0.7628361858190709,0.22693266832917705,0.0050837308870895215,0.259289843104872,0.5036674816625917,0.13466334164588528,-0.0825054738675835,0.5359207266721717,0.9388753056234719,0.33042394014962595,0.14152346704099533
<25,2327,0.23635582294800173,0.38934250107434465,0.8981818181818182,0.23185143500281374,-0.01650424473767731,0.38805328749462825,0.9,0.22960045019696118,-0.014790314401106341,0.3270305113880533,0.7872727272727272,0.18458075407990995,-0.01476480558440224,0.35969058874086807,0.86,0.20483961733258302,-0.03470667089030832
>74,376,0.2553191489361702,0.35106382978723405,0.84375,0.18214285714285713,-0.05478291602478791,0.3404255319148936,0.8229166666666666,0.175,-0.062418069980840984,0.23138297872340424,0.5729166666666666,0.11428571428571428,-0.11041233824905128,0.4441489361702128,0.9479166666666666,0.2714285714285714,0.049751676539036394
